country,Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy",year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians,GDP/C,life_expectancy_mean,Latitude,Longitude,continent
Uruguay,33,88,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35.0,2019.0,3449299.0,0.37,20.61,14.81,59180.0,2.7,8.2,4.4,9.1,81.36,73.96,,,33.0,0.6,10.0,,,5.0,17157.109314095414,77.66,-32.8755548,-56.0201525,South America
Singapore,34,5,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1.0,2019.0,5638676.0,0.47,12.28,11.46,323901.0,3.6,1.7,2.9,4.5,85.4,81.0,,,47.0,0.2,2.1,,,2.3,57442.74010423724,83.2,1.357107,103.8194992,Asia
El Salvador,35,112,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75.0,2019.0,6420744.0,0.51,27.13,8.29,24805.0,2.3,4.6,3.8,7.0,77.64,68.23,,,70.0,0.6,17.7,,,1.6,3863.2594602743857,72.935,13.8000382,-88.9140683,North America
Italy,36,31,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7.0,2019.0,60421760.0,-0.19,13.33,22.75,1943835.0,1.6,10.4,4.1,8.9,85.2,80.8,,,7.0,0.3,3.0,,,4.1,32171.10855426919,83.0,42.6384261,12.674297,Europe
Bahrain,37,83,39.0,83.0,59.0,24.0,,23.0,20.0,42.0,2019.0,1569439.0,4.92,19.25,2.43,35326.0,3.8,1.2,2.3,4.9,78.28,76.31,,,11.0,,6.9,,,0.9,22508.67985311949,77.295,26.1551249,50.5344606,Asia
Slovakia,38,39,53.0,47.0,21.0,108.0,142.0,70.0,35.0,38.0,2019.0,5446771.0,0.14,15.45,15.63,95618.0,3.2,7.0,4.6,7.1,80.7,73.8,,,5.8,0.1,5.4,,,2.5,17554.98808376559,77.25,48.7411522,19.4528646,Europe
Trinidad and Tobago,39,89,14.0,52.0,29.0,51.0,141.0,41.0,38.0,93.0,2019.0,1389858.0,0.42,20.42,10.73,22105.0,-2.3,5.1,4.496969696969698,6.5,76.09,70.75,,,21.0,,26.1,,,2.7,15904.502474353494,73.42,10.7466905,-61.0840075,North America
Poland,40,28,76.0,33.0,44.0,52.0,108.0,77.0,41.0,36.0,2019.0,37974750.0,0.0,15.05,17.52,526212.0,4.8,4.4,4.8,6.5,81.8,73.9,,,16.0,,4.4,,,2.4,13856.891750439436,77.85,52.215933,19.134422,Europe
Uzbekistan,41,99,19.0,15.0,11.0,1.0,18.0,29.0,104.0,83.0,2019.0,32955400.0,1.73,28.69,4.42,49677.0,5.2,6.7,6.4,6.3,73.68,69.44,,,70.0,0.2,27.7,,,2.4,1507.4009115349836,71.56,41.32373,63.9528098,Asia
Lithuania,42,55,138.0,41.0,17.0,122.0,113.0,124.0,36.0,62.0,2019.0,2801543.0,-0.95,14.88,19.71,47544.0,4.1,6.8,4.2,6.7,80.9,71.9,,,44.0,,4.4,,,4.3,16970.647960784467,76.4,55.3500003,23.7499997,Europe
Colombia,43,120,30.0,88.0,52.0,56.0,124.0,111.0,74.0,51.0,2019.0,49648685.0,1.52,23.08,8.48,309191.0,1.8,9.2,4.4,5.9,79.86,74.33,,,33.0,0.4,14.4,,,2.1,6227.576823031667,77.095,4.099917,-72.9088133,South America
Slovenia,44,54,114.0,71.0,14.0,13.0,97.0,54.0,34.0,29.0,2019.0,2073894.0,0.36,15.02,19.61,48456.0,4.9,6.0,4.9,8.5,84.0,78.2,,,5.3,0.1,2.2,,,3.0,23364.742846066383,81.1,46.1199444,14.8153333,Europe
Nicaragua,45,133,31.0,125.0,66.0,70.0,43.0,71.0,108.0,53.0,2019.0,6465513.0,1.26,30.2,5.25,13814.0,4.9,4.5,4.3,8.7,77.77,70.74,,,41.0,0.2,17.8,,,1.0,2136.566734921111,74.255,12.6090157,-85.2936911,North America
Kosovo,46,107,71.0,7.0,85.0,50.0,144.0,31.0,88.0,,2019.0,2108132.0,0.8,32.72,4.9,2632.0,-1.6,28.2,6.4,8.1,56.95,50.58,,,611.0,23.6,65.4,,,1.8122448979591843,1248.4986708612175,53.765,42.5869578,20.9021231,Europe
Argentina,47,97,28.0,93.0,46.0,54.0,109.0,123.0,55.0,37.0,2019.0,44494502.0,1.02,24.76,11.12,637486.0,2.9,7.9,5.6,7.5,79.86,73.08,,,27.0,0.4,12.1,,,4.0,14327.298235633698,76.47,-34.9964963,-64.9672817,South America
Romania,48,75,80.0,62.0,86.0,57.0,146.0,102.0,48.0,61.0,2019.0,19466145.0,-0.62,15.53,18.34,211804.0,6.9,5.0,3.1,5.0,79.2,71.8,,,68.0,0.1,8.4,,,2.3,10880.634044388347,75.5,45.9852129,24.6859225,Europe
Cyprus,49,95,60.0,99.0,90.0,81.0,115.0,39.0,33.0,6.0,2019.0,1189265.0,0.81,16.79,13.72,22054.0,4.2,9.9,6.4,6.9,82.91,78.74,,,5.4,,4.2,,,2.0,18544.226896444445,80.82499999999999,34.9823018,33.1451285,Europe
Ecuador,50,113,11.0,113.0,71.0,42.0,68.0,95.0,86.0,45.0,2019.0,17084357.0,1.77,28.03,7.16,104296.0,3.0,4.2,5.0,8.4,79.64,74.06,,,44.0,0.4,15.1,,,2.0,6104.765897832737,76.85,-1.3397668,-79.3666965,South America
Kuwait,51,98,89.0,97.0,69.0,47.0,,42.0,5.0,70.0,2019.0,4137309.0,1.98,21.54,2.55,119534.0,-3.5,2.0,4.496969696969698,3.9,76.47,74.67,,,23.0,0.1,8.2,,,2.6,28891.72648211676,75.57,29.2733964,47.4979476,Asia
Thailand,52,81,20.0,35.0,53.0,18.0,131.0,10.0,62.0,58.0,2019.0,69428524.0,0.32,17.09,11.9,455303.0,3.9,1.4,4.1,3.7,80.7,73.23,,,153.0,1.1,10.1,,,0.8,6557.866619777197,76.965,14.8971921,100.83273,Asia
Latvia,53,30,119.0,38.0,34.0,126.0,92.0,105.0,43.0,68.0,2019.0,1927174.0,-0.78,16.0,20.04,30463.0,4.6,8.5,5.3,6.2,79.8,69.8,,,29.0,0.4,5.2,,,3.2,15807.083325117505,74.8,56.8406494,24.7537645,Europe
South Korea,54,57,101.0,45.0,91.0,144.0,100.0,40.0,27.0,9.0,2019.0,57779622.0,1.36,29.08,5.32,348872.0,1.3,27.6,6.1,8.1,67.4,60.46,,,520.0,20.4,32.9,,,0.9,6037.976503203846,63.93000000000001,36.638392,127.6961188,Asia
Estonia,55,32,50.0,6.0,12.0,45.0,30.0,83.0,37.0,41.0,2019.0,1321977.0,0.35,16.36,19.63,25921.0,4.9,5.5,5.2,6.7,83.0,74.3,,,13.0,0.9,3.2,,,3.5,19607.75414398284,78.65,58.7523778,25.3319078,Europe
Jamaica,56,102,51.0,51.0,28.0,49.0,130.0,119.0,93.0,55.0,2019.0,2934855.0,0.48,23.75,8.8,14827.0,1.0,11.9,5.3,6.1,75.99,72.79,,,2.9,1.9,14.9,,,1.3,5052.038346017094,74.39,18.1850507,-77.3947693,North America
Mauritius,57,94,55.0,16.0,54.0,40.0,96.0,37.0,53.0,73.0,2019.0,1265303.0,0.05,17.79,11.47,13366.0,3.9,7.0,5.0,5.7,77.72,71.27,,,13.0,1.3,12.0,,,2.0,10563.477680840084,74.495,-20.2759451,57.5703566,Africa
Japan,58,43,73.0,14.0,50.0,64.0,39.0,92.0,24.0,2.0,2019.0,126529100.0,-0.2,12.7,27.58,4872415.0,1.7,2.4,3.5,10.9,87.32,81.25,,,14.0,0.1,2.2,,,2.4,38508.25620351366,84.285,36.5748441,139.2394179,Asia
Honduras,59,151,13.0,73.0,84.0,39.0,79.0,51.0,113.0,57.0,2019.0,9587522.0,1.67,31.74,4.69,22979.0,4.8,4.3,6.0,8.4,77.38,72.77,,,37.0,0.3,18.4,,,0.3,2396.7611234686083,75.07499999999999,15.2572432,-86.0755145,North America
Kazakhstan,60,40,81.0,5.0,19.0,80.0,57.0,57.0,47.0,88.0,2019.0,18272430.0,1.29,28.46,7.39,159407.0,4.0,5.2,2.9,3.5,77.19,68.84,,,68.0,0.2,14.1,,,3.3,8723.90809542026,73.015,48.1012954,66.7780818,Asia
Bolivia,61,71,70.0,138.0,93.0,35.0,91.0,104.0,101.0,94.0,2019.0,11353142.0,1.42,31.07,7.19,37509.0,4.2,3.2,7.3,6.9,74.21,68.43,,,108.0,0.3,32.4,,,1.6,3303.843112329609,71.32,-17.0568696,-64.9912286,South America
Hungary,62,36,86.0,31.0,51.0,138.0,140.0,100.0,42.0,56.0,2019.0,9775564.0,-0.13,14.41,19.16,139761.0,4.1,3.4,4.6,7.4,79.3,72.5,,,6.4,0.1,5.0,,,3.2,14296.975601612347,75.9,47.1817585,19.5060937,Europe
Paraguay,63,90,1.0,39.0,30.0,34.0,76.0,67.0,90.0,81.0,2019.0,6956071.0,1.29,29.44,6.43,29435.0,4.3,4.6,4.5,8.0,76.25,72.16,,,43.0,0.5,20.8,,,1.4,4231.555428344534,74.205,-23.3165935,-58.1693445,South America
Northern Cyprus,64,35,144.0,90.0,81.0,77.0,29.0,43.0,76.5,,2019.0,1189265.0,0.81,16.79,13.72,22054.0,4.2,9.9,6.4,6.9,82.91,78.74,,,5.4,,4.2,,,2.0,18544.226896444445,80.82499999999999,35.2245313,33.6252379,Africa
Peru,65,114,36.0,127.0,77.0,61.0,132.0,126.0,76.0,47.0,2019.0,31989256.0,1.72,25.79,8.09,211403.0,2.5,3.7,3.9,5.1,79.28,73.83,,,123.0,0.3,14.1,,,1.3,6608.562574884518,76.555,-6.8699697,-75.0458515,South America
Portugal,66,73,97.0,100.0,47.0,37.0,135.0,122.0,39.0,22.0,2019.0,10283822.0,-0.16,13.46,21.95,195041.0,0.9,6.7,4.9,9.1,84.9,78.7,,,24.0,0.5,2.9,,,3.3,18965.808626403687,81.80000000000001,39.6621648,-8.1353519,Europe
Pakistan,67,53,130.0,111.0,130.0,114.0,55.0,58.0,110.0,114.0,2019.0,212215030.0,2.06,35.27,4.31,302139.0,5.7,4.3,2.8,2.8,68.11,66.19,,,265.0,0.1,68.1,,,1.0,1423.7398736555087,67.15,30.3308401,71.247499,Asia
Russia,68,64,96.0,9.0,40.0,107.0,127.0,101.0,45.0,89.0,2019.0,8840521.0,0.49,14.3,19.0,416836.0,2.6,5.4,5.5,10.4,84.0,79.4,,,7.1,,3.3,,,5.1,47150.61476580396,81.7,64.6863136,97.7453061,Europe
Philippines,69,119,42.0,116.0,75.0,15.0,49.0,115.0,97.0,99.0,2019.0,106651922.0,1.4,30.96,5.12,313595.0,6.7,1.8,4.496969696969698,4.4,75.39,67.12,,,554.0,0.1,23.7,,,1.8122448979591843,2940.3595745794437,71.255,12.7503486,122.7312101,Asia
Serbia,70,100,148.0,92.0,57.0,124.0,118.0,84.0,71.0,48.0,2019.0,6982604.0,-0.55,15.69,18.35,41590.0,2.0,12.2,3.9,9.1,78.1,73.1,,,17.0,0.1,6.1,,,3.1,5956.230655497577,75.6,44.1534121,20.55144,Europe
Moldova,71,45,133.0,67.0,65.0,128.0,148.0,86.0,109.0,86.0,2019.0,2706049.0,,15.86,11.47,8128.0,4.5,4.3,6.7,9.0,76.07,67.53,,,86.0,0.6,14.2,,,3.2,3003.6411018425756,71.8,47.2879608,28.5670941,Europe
Libya,72,115,85.0,137.0,73.0,79.0,31.0,87.0,63.0,96.0,2019.0,6678567.0,1.48,28.32,4.39,25127.0,64.0,15.0,4.496969696969698,6.1,75.79,69.9,,,40.0,0.2,13.0,,,2.2,3762.3340456118804,72.845,26.8234472,18.1236723,Africa
Montenegro,73,84,143.0,118.0,60.0,139.0,77.0,76.0,61.0,44.0,2019.0,622227.0,-0.02,18.21,14.97,4845.0,4.7,16.2,4.496969696969698,6.804666666666668,79.2,74.32,,,15.0,0.1,4.3,,,2.3,7786.547353297109,76.75999999999999,42.9868853,19.5180992,Europe
Tajikistan,74,50,120.0,54.0,113.0,86.0,35.0,72.0,123.0,92.0,2019.0,9100837.0,2.45,36.78,3.02,7146.0,7.1,10.3,5.2,7.0,73.18,68.73,,,84.0,0.2,34.1,,,1.7,785.2025039015642,70.95500000000001,38.6281733,70.8156541,Asia
Croatia,75,29,122.0,101.0,79.0,118.0,139.0,81.0,50.0,32.0,2019.0,4087843.0,-0.89,14.51,20.45,55201.0,2.9,8.4,4.6,7.2,81.4,74.9,,,8.4,0.1,4.3,,,3.0,13503.698649874763,78.15,45.3658443,15.6575209,Europe
Hong Kong,76,33,105.0,28.0,76.0,66.0,14.0,18.0,9.0,,2019.0,7451000.0,0.8,11.9,16.88,341659.0,3.8,2.9,3.3,6.804666666666668,87.7,82.3,,,67.0,,1.6,,,1.8122448979591843,45854.11354180647,85.0,22.2793278,114.1628131,Africa
Dominican Republic,77,155,66.0,77.0,55.0,43.0,52.0,93.0,69.0,80.0,2019.0,10627165.0,1.08,27.98,7.08,75932.0,4.6,5.5,4.496969696969698,6.2,77.2,70.81,,,45.0,0.9,27.5,,,1.6,7145.085260274024,74.005,19.0974031,-70.3028026,North America
Bosnia and Herzegovina ,78,80,116.0,79.0,92.0,137.0,145.0,32.0,82.0,50.0,2019.0,3323929.0,-0.83,14.77,16.47,18169.0,3.0,26.5,4.496969696969698,9.2,79.72,74.75,,,25.0,0.1,6.9,,,2.0,5466.121568782005,77.235,44.3053476,17.5961467,Africa
Turkey,79,58,154.0,121.0,61.0,140.0,50.0,98.0,44.0,69.0,2019.0,82319724.0,1.49,24.65,8.48,851542.0,7.4,11.2,4.3,4.3,80.34,74.45,,,16.0,,11.8,,,1.8,10344.325255512276,77.39500000000001,38.9597594,34.9249653,Asia
Malaysia,80,12,25.0,23.0,97.0,36.0,137.0,27.0,40.0,59.0,2019.0,31528585.0,1.35,24.0,6.67,314707.0,5.9,3.3,4.7,3.8,78.17,74.08,,,92.0,0.4,6.4,,,1.5,9981.640470068669,76.125,4.5693754,102.2656823,Asia
Belarus,81,22,149.0,36.0,33.0,131.0,37.0,103.0,58.0,76.0,2019.0,9483499.0,-0.16,16.87,14.85,54441.0,2.4,0.5,4.8,6.3,79.4,69.2,,,31.0,0.5,3.4,,,4.1,5740.602703706722,74.30000000000001,53.4250605,27.6971358,Europe
Greece,82,87,102.0,94.0,102.0,150.0,123.0,152.0,46.0,21.0,2019.0,10731726.0,-0.21,14.07,21.66,203086.0,1.5,19.5,4.496969696969698,8.5,83.9,78.8,,,4.5,,3.3,,,4.6,18923.88978250097,81.35,38.9953683,21.9877132,Europe
Mongolia,83,48,95.0,17.0,10.0,112.0,119.0,38.0,80.0,97.0,2019.0,3170208.0,1.8,30.41,4.08,11135.0,5.1,6.2,4.1,3.8,73.96,65.63,,,428.0,0.1,22.8,,,2.9,3512.387830703853,69.79499999999999,46.8250388,103.8499736,Asia
Macedonia,84,67,140.0,89.0,74.0,105.0,125.0,55.0,75.0,52.0,2019.0,284060.0,1.31,22.74,9.17,9894.0,2.7,14.8,4.496969696969698,6.804666666666668,79.3,75.1,,,15.0,,13.0,,,1.8122448979591843,34830.669576849956,77.19999999999999,41.6171214,21.7168387,Europe
Nigeria,85,130,61.0,55.0,111.0,75.0,114.0,59.0,107.0,145.0,2019.0,195874740.0,2.59,43.87,2.75,375770.0,0.8,7.0,4.496969696969698,3.6,55.24,53.45,,,219.0,1.5,75.0,,,0.4,1918.4199044756867,54.345,9.6000359,7.9999721,Africa
Kyrgyzstan,86,46,58.0,4.0,45.0,38.0,138.0,36.0,120.0,91.0,2019.0,6322800.0,1.99,32.35,4.49,7565.0,4.6,7.4,7.2,6.6,75.6,67.4,,,116.0,0.2,19.5,,,1.9,1196.4635920794585,71.5,41.5089324,74.724091,Asia
Turkmenistan,87,2,135.0,63.0,8.0,83.0,,33.0,60.0,100.0,2019.0,5850908.0,1.61,30.82,4.43,37915.0,6.5,3.3,3.0,6.6,71.58,64.6,,,46.0,,46.9,,,2.2,6480.190766971554,68.09,39.3763807,59.3924609,Asia
Algeria,88,56,113.0,106.0,101.0,149.0,46.0,128.0,72.0,78.0,2019.0,42228429.0,2.01,30.15,6.36,167555.0,1.4,9.9,4.496969696969698,6.6,77.94,75.49,,,69.0,0.1,24.9,,,1.8,3967.8246140769293,76.715,28.0000272,2.9999825,Africa
Morocco,89,101,110.0,91.0,139.0,76.0,84.0,154.0,98.0,79.0,2019.0,36029138.0,1.25,27.21,7.01,109709.0,5.6,9.3,4.496969696969698,5.8,77.67,75.19,,,99.0,0.1,24.2,,,0.7,3045.0076268824414,76.43,31.1728205,-7.3362482,Africa
Azerbaijan,90,24,134.0,20.0,104.0,101.0,22.0,146.0,65.0,82.0,2019.0,9939800.0,0.87,23.37,6.2,40749.0,0.1,5.0,2.9,6.9,75.34,70.34,,,63.0,,31.4,,,3.4,4099.5794683997665,72.84,40.3936294,47.7872508,Asia
Lebanon,91,60,150.0,61.0,89.0,136.0,133.0,63.0,73.0,66.0,2019.0,6848925.0,0.54,26.1,7.0,53394.0,0.6,6.7,2.5,8.0,80.82,77.08,,,11.0,0.1,9.6,,,2.3,7795.967980376482,78.94999999999999,33.8750629,35.843409,Asia
Indonesia,92,108,9.0,104.0,94.0,48.0,129.0,2.0,83.0,98.0,2019.0,267663435.0,1.13,26.55,5.86,1015539.0,5.1,4.4,3.6,3.1,73.75,69.38,,,316.0,0.4,25.0,,,0.4,3794.0893943918786,71.565,-2.4833826,117.8902853,Asia
China,93,72,21.0,11.0,108.0,31.0,,133.0,68.0,34.0,2019.0,1392730000.0,0.46,17.88,10.92,12237782.0,6.9,4.8,4.496969696969698,5.0,79.05,74.55,,,61.0,,12.3,,,1.8,8786.901983873398,76.8,35.000074,104.999927,Asia
Vietnam,94,27,121.0,27.0,64.0,23.0,86.0,97.0,105.0,49.0,2019.0,575991.0,0.96,27.17,6.91,3807.0,-0.7,8.0,4.496969696969698,6.1,74.94,68.37,,,38.0,1.4,20.3,,,1.2,6609.478273098018,71.655,15.9266657,107.9650855,Asia
Bhutan,95,6,37.0,98.0,68.0,59.0,25.0,13.0,95.0,104.0,2019.0,754394.0,1.18,25.77,6.0,2562.0,6.0,2.4,7.1,3.5,71.82,71.12,,,149.0,0.3,30.5,,,0.4,3396.103362433954,71.47,27.549511,90.5119273,Asia
Cameroon,96,131,106.0,129.0,129.0,90.0,120.0,91.0,121.0,141.0,2019.0,25216237.0,2.61,42.63,2.73,34924.0,3.5,4.2,3.1,4.7,60.19,57.66,,,186.0,3.6,70.7,,,0.1,1384.980637674051,58.925,4.6125522,13.1535811,Africa
Bulgaria,97,47,117.0,13.0,18.0,115.0,147.0,112.0,56.0,65.0,2019.0,7025037.0,-0.72,14.6,21.02,58222.0,3.8,4.4,4.1,8.2,78.4,71.5,,,22.0,0.1,8.3,,,4.0,8287.785530524607,74.95,42.6073975,25.4856617,Europe
